candidate,block_length,metric,point,low,high,delta_vs_rf,delta_low,delta_high,valid_replicates
l1_logistic_c_0.01,40,top10_precision,0.1,0.025,0.2,-0.024999999999999994,-0.15000000000000002,0.07500000000000001,2000
l1_logistic_c_0.01,40,top10_lift,1.6333333333333335,0.4083333333333334,3.733333333333334,-0.408333333333333,-2.2405384615384616,1.7294117647058822,2000
random_forest_depth_none_leaf_8,40,ap,0.09347718147533739,0.03897783770562703,0.20948421606204481,0.0,0.0,0.0,2000
random_forest_depth_none_leaf_8,40,top10_capture,0.20833333333333334,0.06656250000000001,0.391304347826087,0.0,0.0,0.0,2000
random_forest_depth_none_leaf_8,40,top10_precision,0.125,0.025,0.225,0.0,0.0,0.0,2000
random_forest_depth_none_leaf_8,40,top10_lift,2.0416666666666665,0.6523125000000001,3.8347826086956522,0.0,0.0,0.0,2000
h1_l2_c_0.1,40,ap,0.08763957200163569,0.052161696681647385,0.16010203157098787,-0.0058376094737016965,-0.11039625596449087,0.05311246421268823,2000
h1_l2_c_0.1,40,top10_capture,0.125,0.0,0.25,-0.08333333333333334,-0.30000000000000004,0.05263157894736842,2000
h1_l2_c_0.1,40,top10_precision,0.075,0.0,0.175,-0.05,-0.175,0.025,2000
h1_l2_c_0.1,40,top10_lift,1.225,0.0,2.45,-0.8166666666666664,-2.94,0.5157894736842104,2000
h2_rf_f40,40,ap,0.08009012804025581,0.045821265079034196,0.1601321114130043,-0.013387053435081578,-0.11159687884167929,0.06866959973272246,2000
h2_rf_f40,40,top10_capture,0.125,0.0,0.3125,-0.08333333333333334,-0.2727272727272727,0.13333333333333333,2000
h2_rf_f40,40,top10_precision,0.075,0.0,0.15,-0.05,-0.175,0.05,2000
h2_rf_f40,40,top10_lift,1.225,0.0,3.0625000000000004,-0.8166666666666664,-2.672727272727273,1.3066666666666666,2000
