candidate,family,fold,repeat,split,validation_samples,validation_fail,selected_features,removed_high_missing,removed_uninformative,removed_duplicate,threshold,pr_auc_average_precision,fail_recall,precision,f1,balanced_accuracy,false_alarm_rate,accuracy,tn,fp,fn,tp
l1_logistic_c_0.01,logistic,10,2,0,235,16,444,24,122,0,0.5,0.24119407000789156,0.6875,0.14666666666666667,0.24175824175824176,0.6976312785388128,0.2922374429223744,0.7063829787234043,155,64,5,11
l1_logistic_c_0.01,logistic,11,2,1,235,16,444,24,122,0,0.5,0.1336015636480613,0.75,0.14457831325301204,0.24242424242424243,0.7128995433789954,0.3242009132420091,0.6808510638297872,148,71,4,12
l1_logistic_c_0.01,logistic,12,2,2,235,16,444,24,122,0,0.5,0.16450744009813514,0.6875,0.171875,0.275,0.7227454337899544,0.2420091324200913,0.7531914893617021,166,53,5,11
l1_logistic_c_0.01,logistic,13,2,3,235,16,444,24,122,0,0.5,0.22369821328896825,0.75,0.14634146341463414,0.24489795918367346,0.7151826484018264,0.319634703196347,0.6851063829787234,149,70,4,12
l1_logistic_c_0.01,logistic,14,2,4,235,16,444,24,122,0,0.5,0.1587292012534351,0.6875,0.15492957746478872,0.25287356321839083,0.706763698630137,0.273972602739726,0.723404255319149,159,60,5,11
l1_logistic_c_0.01,logistic,15,3,0,235,16,444,24,122,0,0.5,0.13156418125736902,0.6875,0.11,0.1896551724137931,0.6405536529680365,0.4063926940639269,0.6,130,89,5,11
l1_logistic_c_0.01,logistic,16,3,1,235,16,444,24,122,0,0.5,0.16985004771285558,0.6875,0.15714285714285714,0.2558139534883721,0.709046803652968,0.2694063926940639,0.7276595744680852,160,59,5,11
l1_logistic_c_0.01,logistic,17,3,2,235,16,444,24,122,0,0.5,0.11591538007751497,0.5,0.14035087719298245,0.2191780821917808,0.6381278538812785,0.2237442922374429,0.7574468085106383,170,49,8,8
l1_logistic_c_0.01,logistic,18,3,3,235,16,444,24,122,0,0.5,0.21552043363889106,0.875,0.19444444444444445,0.3181818181818182,0.8050799086757991,0.2648401826484018,0.7446808510638298,161,58,2,14
l1_logistic_c_0.01,logistic,19,3,4,235,16,444,24,122,0,0.5,0.20359862060509087,0.875,0.16279069767441862,0.27450980392156865,0.7731164383561644,0.3287671232876712,0.6851063829787234,147,72,2,14
l1_logistic_c_0.01,logistic,20,4,0,235,16,444,24,122,0,0.5,0.16875862079354453,0.75,0.14285714285714285,0.24,0.7106164383561644,0.3287671232876712,0.676595744680851,147,72,4,12
l1_logistic_c_0.01,logistic,21,4,1,235,16,444,24,122,0,0.5,0.15226809301728006,0.625,0.16393442622950818,0.2597402597402597,0.6960616438356164,0.2328767123287671,0.7574468085106383,168,51,6,10
l1_logistic_c_0.01,logistic,22,4,2,235,16,444,24,122,0,0.5,0.14633838216346787,0.75,0.15584415584415584,0.25806451612903225,0.7265981735159817,0.2968036529680365,0.7063829787234043,154,65,4,12
l1_logistic_c_0.01,logistic,23,4,3,235,16,444,24,122,0,0.5,0.3046599761173967,0.875,0.1794871794871795,0.2978723404255319,0.7913812785388128,0.2922374429223744,0.7191489361702128,155,64,2,14
l1_logistic_c_0.01,logistic,24,4,4,235,16,444,24,122,0,0.5,0.1271070676549988,0.6875,0.15492957746478872,0.25287356321839083,0.706763698630137,0.273972602739726,0.723404255319149,159,60,5,11
l1_logistic_c_0.1,logistic,0,0,0,235,16,444,24,122,0,0.5,0.12279089300386543,0.1875,0.1111111111111111,0.13953488372093023,0.5389554794520548,0.1095890410958904,0.8425531914893617,195,24,13,3
l1_logistic_c_0.1,logistic,1,0,1,235,16,444,24,122,0,0.5,0.10599146044783858,0.4375,0.13725490196078433,0.208955223880597,0.6182933789954338,0.2009132420091324,0.774468085106383,175,44,9,7
l1_logistic_c_0.1,logistic,2,0,2,235,16,444,24,122,0,0.5,0.19149646925975294,0.25,0.0851063829787234,0.12698412698412698,0.5268264840182648,0.1963470319634703,0.7659574468085106,176,43,12,4
l1_logistic_c_0.1,logistic,3,0,3,235,16,444,24,122,0,0.5,0.14236549527650372,0.4375,0.16279069767441862,0.23728813559322035,0.6365582191780822,0.1643835616438356,0.8085106382978723,183,36,9,7
l1_logistic_c_0.1,logistic,4,0,4,235,16,444,24,122,0,0.5,0.14153147052285883,0.5,0.18181818181818182,0.26666666666666666,0.6678082191780822,0.1643835616438356,0.8127659574468085,183,36,8,8
l1_logistic_c_0.1,logistic,5,1,0,235,16,444,24,122,0,0.5,0.1923690278683132,0.5,0.16326530612244897,0.24615384615384617,0.6563926940639269,0.1872146118721461,0.7914893617021277,178,41,8,8
l1_logistic_c_0.1,logistic,6,1,1,235,16,444,24,122,0,0.5,0.17967761262775295,0.4375,0.2,0.27450980392156865,0.6548230593607306,0.1278538812785388,0.8425531914893617,191,28,9,7
l1_logistic_c_0.1,logistic,7,1,2,235,16,444,24,122,0,0.5,0.1007394098149363,0.25,0.08888888888888889,0.13114754098360656,0.5313926940639269,0.1872146118721461,0.774468085106383,178,41,12,4
l1_logistic_c_0.1,logistic,8,1,3,235,16,444,24,122,0,0.5,0.21334762510651747,0.5,0.1702127659574468,0.25396825396825395,0.660958904109589,0.1780821917808219,0.8,180,39,8,8
l1_logistic_c_0.1,logistic,9,1,4,235,16,444,24,122,0,0.5,0.12947517464767455,0.1875,0.07692307692307693,0.10909090909090909,0.5115582191780822,0.1643835616438356,0.7914893617021277,183,36,13,3
l1_logistic_c_0.1,logistic,10,2,0,235,16,444,24,122,0,0.5,0.2865982188473484,0.5,0.2,0.2857142857142857,0.6769406392694064,0.1461187214611872,0.8297872340425532,187,32,8,8
l1_logistic_c_0.1,logistic,11,2,1,235,16,444,24,122,0,0.5,0.17017856166693315,0.5,0.14545454545454545,0.22535211267605634,0.6426940639269406,0.2146118721461187,0.7659574468085106,172,47,8,8
l1_logistic_c_0.1,logistic,12,2,2,235,16,444,24,122,0,0.5,0.15639987222077706,0.375,0.15384615384615385,0.21818181818181817,0.6121575342465753,0.1506849315068493,0.8170212765957446,186,33,10,6
l1_logistic_c_0.1,logistic,13,2,3,235,16,444,24,122,0,0.5,0.182959922570996,0.4375,0.15555555555555556,0.22950819672131148,0.63199200913242,0.1735159817351598,0.8,181,38,9,7
l1_logistic_c_0.1,logistic,14,2,4,235,16,444,24,122,0,0.5,0.13564219828312907,0.25,0.0975609756097561,0.14035087719298245,0.5405251141552512,0.1689497716894977,0.7914893617021277,182,37,12,4
l1_logistic_c_0.1,logistic,15,3,0,235,16,444,24,122,0,0.5,0.13612247698260882,0.4375,0.15555555555555556,0.22950819672131148,0.63199200913242,0.1735159817351598,0.8,181,38,9,7
l1_logistic_c_0.1,logistic,16,3,1,235,16,444,24,122,0,0.5,0.08327891630830422,0.25,0.10256410256410256,0.14545454545454545,0.5450913242009132,0.1598173515981735,0.8,184,35,12,4
