candidate,split,feature,mean_signed_logit,mean_absolute_logit,max_abs_transformed
logistic,later,numeric__Barrel_Temperature_1,0.027765345545708565,0.030638643375908502,7.345627131051973
logistic,later,numeric__Barrel_Temperature_2,0.2391382496176246,0.26440703503955376,6.202397605082994
logistic,later,numeric__Barrel_Temperature_3,-0.3375271233299391,0.3742425272798009,5.99557781291837
logistic,later,numeric__Barrel_Temperature_4,-0.2667903254416361,0.293028393388268,11.034375708799871
logistic,later,numeric__Barrel_Temperature_5,-0.6193058396002867,0.6876708214932312,3.9230922163496698
logistic,later,numeric__Barrel_Temperature_6,0.28503312226195915,0.31720886506761375,3.013791122729583
logistic,later,numeric__Hopper_Temperature,0.1646631911166601,0.43234553143353,18.756402607507187
logistic,later,numeric__Mold_Temperature_3,0.8959611339439968,0.92343965175832,3.0814356609722444
logistic,later,numeric__Mold_Temperature_4,-1.2403292488649444,1.2804184376456618,2.255555971375362
logistic,later,product__PART_NAME_CN7 W/S SIDE MLD'G LH,-0.33245425834927805,0.33245425834927805,1.0
logistic,later,product__PART_NAME_CN7 W/S SIDE MLD'G RH,-0.0010584683465953814,0.0010584683465953814,1.0
logistic,later,"product__PART_NAME_RG3 MOLD'G W/SHLD, LH",-0.03410907359313622,0.03410907359313622,1.0
logistic,later,"product__PART_NAME_RG3 MOLD'G W/SHLD, RH",0.029118184345193296,0.029118184345193296,1.0
clipped_logistic,fit,numeric__Injection_Time,-4.7040234078788494e-18,0.17834986563657973,1.2473233137316486
clipped_logistic,fit,numeric__Filling_Time,2.3520117039394247e-18,0.016007884599494253,1.2505810578911887
clipped_logistic,fit,numeric__Plasticizing_Time,-1.5052874905212318e-16,0.47466963563977466,1.2828938934653047
clipped_logistic,fit,numeric__Cycle_Time,-4.515862471563695e-16,1.0241736485326918,1.2535134390100209
clipped_logistic,fit,numeric__Clamp_Close_Time,3.838483100829141e-15,1.3542889803053004,1.3278413943977092
clipped_logistic,fit,numeric__Cushion_Position,-4.4029659097746027e-14,0.5998748893164326,1.31073376194226
clipped_logistic,fit,numeric__Switch_Over_Position,0.0,0.0,0.0
clipped_logistic,fit,numeric__Plasticizing_Position,9.408046815757699e-17,0.48653140755011687,1.250272658475889
clipped_logistic,fit,numeric__Clamp_Open_Position,9.408046815757699e-18,0.2902777285137043,1.24733217847207
clipped_logistic,fit,numeric__Max_Injection_Speed,-1.8816093631515398e-17,0.5021188757534081,1.2551195550174317
clipped_logistic,fit,numeric__Max_Screw_RPM,1.0595812726247107e-15,0.05573517312992458,2.8162938309953325
clipped_logistic,fit,numeric__Average_Screw_RPM,1.6934484268363858e-15,0.1569460827616149,1.3778198807548352
clipped_logistic,fit,numeric__Max_Injection_Pressure,7.150115579975851e-15,0.36104083048868174,1.8082539879675212
clipped_logistic,fit,numeric__Max_Switch_Over_Pressure,6.773793707345543e-16,0.6340112605706114,1.3055956968743787
clipped_logistic,fit,numeric__Max_Back_Pressure,-7.526437452606159e-17,0.8674071010110349,1.3078656486456028
clipped_logistic,fit,numeric__Average_Back_Pressure,6.397471834715235e-16,0.21593999281104886,2.234583288680884
clipped_logistic,fit,numeric__Barrel_Temperature_1,-4.4217820034061184e-16,0.4036988470362745,1.4178767263181922
clipped_logistic,fit,numeric__Barrel_Temperature_2,6.773793707345543e-16,0.6485192243570173,1.408331693464192
clipped_logistic,fit,numeric__Barrel_Temperature_3,-9.878449156545583e-16,0.2168955874308057,1.3679747004233476
clipped_logistic,fit,numeric__Barrel_Temperature_4,-8.279081197866774e-16,0.38550221540598684,1.6396259133446494
clipped_logistic,fit,numeric__Barrel_Temperature_5,-4.139540598933387e-16,0.6205196756635509,1.3870570503943183
clipped_logistic,fit,numeric__Barrel_Temperature_6,-2.2579312357818476e-16,0.7025364006521164,1.3787249512315247
clipped_logistic,fit,numeric__Hopper_Temperature,1.6181840523103242e-15,0.5071731176495845,2.2653777324699393
clipped_logistic,fit,numeric__Mold_Temperature_3,-1.88160936315154e-15,0.9122876092903465,2.0995763228847153
clipped_logistic,fit,numeric__Mold_Temperature_4,2.558988733886094e-15,1.4292537990980556,2.245087377731145
clipped_logistic,fit,product__PART_NAME_CN7 W/S SIDE MLD'G LH,-0.1666002174133896,0.1666002174133896,1.0
clipped_logistic,fit,product__PART_NAME_CN7 W/S SIDE MLD'G RH,0.03367810046933462,0.03367810046933462,1.0
clipped_logistic,fit,"product__PART_NAME_RG3 MOLD'G W/SHLD, LH",-0.4076234612800473,0.4076234612800473,1.0
clipped_logistic,fit,"product__PART_NAME_RG3 MOLD'G W/SHLD, RH",0.306022945042307,0.306022945042307,1.0
clipped_logistic,later,numeric__Injection_Time,0.13352862752751846,0.1487603372217117,1.2449151410741746
clipped_logistic,later,numeric__Filling_Time,-0.011834326720513585,0.01319741657927767,1.2447567043962744
clipped_logistic,later,numeric__Plasticizing_Time,-0.3086306845786807,0.34596359330177,1.237095966206064
clipped_logistic,later,numeric__Cycle_Time,-0.7645931713144123,0.8758761719369518,1.2535134390100209
clipped_logistic,later,numeric__Clamp_Close_Time,0.9397708013201526,1.0933350240303803,1.3278413943977092
clipped_logistic,later,numeric__Cushion_Position,-0.4282634300150055,0.49131300566462993,1.31073376194226
clipped_logistic,later,numeric__Switch_Over_Position,0.0,0.0,0.0
clipped_logistic,later,numeric__Plasticizing_Position,0.34363240382861515,0.38836984451587214,1.2448133809908706
clipped_logistic,later,numeric__Clamp_Open_Position,0.2135480508878995,0.2434431669480456,1.24733217847207
clipped_logistic,later,numeric__Max_Injection_Speed,-0.3810679908970749,0.4231253440289649,1.2409821953992968
clipped_logistic,later,numeric__Max_Screw_RPM,-0.05577999753625666,0.07673592680743968,2.8162938309953325
clipped_logistic,later,numeric__Average_Screw_RPM,-0.22202780636628752,0.22202780636628752,1.3778198807548352
clipped_logistic,later,numeric__Max_Injection_Pressure,-0.17026785034821182,0.24243570471605871,1.8082539879675212
clipped_logistic,later,numeric__Max_Switch_Over_Pressure,0.47289603106530204,0.5160826607280813,1.1541212141376125
clipped_logistic,later,numeric__Max_Back_Pressure,-0.6601969997357503,0.7401561113098005,1.3078656486456028
clipped_logistic,later,numeric__Average_Back_Pressure,0.12878112860297475,0.16699846447375116,2.234583288680884
clipped_logistic,later,numeric__Barrel_Temperature_1,0.30682256188538043,0.3407843118126608,1.376232339154056
clipped_logistic,later,numeric__Barrel_Temperature_2,0.4881985551568282,0.5427816430158977,1.3671603750368602
clipped_logistic,later,numeric__Barrel_Temperature_3,-0.1637629391004862,0.18253027893018023,1.3679747004233476
clipped_logistic,later,numeric__Barrel_Temperature_4,-0.2907202536606388,0.32248092932859374,1.56059004206255
clipped_logistic,later,numeric__Barrel_Temperature_5,-0.46538828440943686,0.5184102744401724,1.3870570503943183
clipped_logistic,later,numeric__Barrel_Temperature_6,0.5282857091204417,0.5890081313942225,1.3787249512315247
clipped_logistic,later,numeric__Hopper_Temperature,0.14053190253683845,0.5044570738469764,2.2653777324699393
clipped_logistic,later,numeric__Mold_Temperature_3,1.0309536647921165,1.0625472150667399,2.0995763228847153
clipped_logistic,later,numeric__Mold_Temperature_4,-1.214365570987904,1.2539527665759709,1.6293403603256975
clipped_logistic,later,product__PART_NAME_CN7 W/S SIDE MLD'G LH,-0.26428484902992855,0.26428484902992855,1.0
clipped_logistic,later,product__PART_NAME_CN7 W/S SIDE MLD'G RH,0.0535170881387369,0.0535170881387369,1.0
clipped_logistic,later,"product__PART_NAME_RG3 MOLD'G W/SHLD, LH",-0.03490024092449045,0.03490024092449045,1.0
clipped_logistic,later,"product__PART_NAME_RG3 MOLD'G W/SHLD, RH",0.02620132432235299,0.02620132432235299,1.0
